iter	Passed	Remaining
0	59	59070
1	59	29658
2	59	19830
3	59	14922
4	60	11977
5	60	10010
6	60	8609
7	60	7557
8	61	6739
9	61	6083
10	61	5548
11	61	5102
12	62	4723
13	62	4399
14	62	4120
15	63	3876
16	63	3659
17	63	3465
18	63	3294
19	64	3138
20	64	2997
21	64	2868
22	64	2751
23	65	2643
24	65	2545
25	65	2453
26	65	2372
27	66	2293
28	66	2220
29	66	2152
30	66	2088
31	67	2031
32	67	1974
33	67	1921
34	67	1870
35	68	1823
36	68	1777
37	68	1735
38	68	1696
39	69	1659
40	69	1623
41	69	1590
42	69	1557
43	70	1526
44	70	1496
45	70	1468
46	71	1440
47	71	1413
48	71	1388
49	71	1364
50	72	1341
51	72	1328
52	73	1307
53	73	1285
54	73	1264
55	73	1244
56	74	1226
57	74	1207
58	74	1190
59	74	1173
60	75	1157
61	75	1140
62	75	1124
63	75	1109
64	76	1095
65	76	1080
66	76	1067
67	76	1053
68	77	1040
69	77	1027
70	77	1015
71	77	1003
72	78	991
73	78	981
74	78	971
75	78	960
76	79	950
77	79	940
78	79	930
79	80	921
80	80	912
81	80	903
82	80	892
83	81	884
84	81	875
85	81	867
86	81	859
87	82	851
88	82	843
89	82	836
90	82	828
91	83	822
92	83	814
93	83	807
94	84	800
95	84	794
96	84	787
97	84	780
98	85	774
99	85	768
100	85	762
101	85	756
102	86	750
103	86	745
104	86	739
105	87	733
106	87	728
107	87	723
108	87	718
109	88	712
110	88	707
111	88	702
112	88	697
113	89	692
114	89	687
115	89	682
116	89	678
117	90	674
118	90	670
119	90	665
120	91	661
121	91	656
122	91	652
123	91	648
124	92	644
125	92	640
126	92	635
127	92	631
128	93	628
129	93	624
130	93	620
131	93	617
132	94	613
133	94	609
134	94	606
135	94	602
136	95	599
137	95	595
138	95	593
139	95	589
140	96	586
141	96	582
142	96	579
143	97	576
144	97	573
145	97	570
146	97	567
147	98	564
148	98	561
149	98	559
150	98	556
151	99	553
152	99	550
153	99	547
154	99	545
155	100	542
156	100	539
157	100	537
158	101	534
159	101	531
160	101	529
161	101	526
162	102	523
163	102	521
164	102	519
165	102	517
166	103	514
167	103	512
168	103	510
169	103	507
170	104	505
171	104	502
172	104	500
173	105	498
174	105	496
175	105	494
176	105	491
177	106	490
178	106	488
179	106	486
180	106	484
181	107	482
182	107	480
183	107	478
184	108	476
185	108	475
186	108	473
187	109	471
188	109	470
189	109	468
190	110	466
191	110	464
192	110	462
193	110	460
194	111	458
195	111	457
196	111	455
197	111	453
198	112	452
199	112	450
200	112	448
201	113	446
202	113	445
203	113	443
204	113	442
205	114	440
206	114	438
207	114	436
208	115	435
209	115	433
210	115	432
211	115	430
212	116	428
213	116	427
214	116	425
215	116	424
216	117	422
217	117	421
218	117	419
219	117	418
220	118	416
221	118	415
222	118	413
223	119	412
224	119	411
225	119	409
226	119	408
227	120	406
228	120	405
229	120	404
230	120	402
231	121	401
232	121	399
233	121	398
234	122	397
235	122	396
236	122	394
237	122	393
238	123	392
239	123	390
240	123	389
241	123	388
242	124	386
243	124	385
244	124	384
245	125	383
246	125	382
247	125	380
248	125	379
249	126	378
250	126	377
251	126	375
252	126	374
253	127	373
254	127	372
255	127	371
256	127	369
257	128	368
258	128	367
259	128	366
260	129	365
261	129	364
262	129	363
263	129	362
264	130	361
265	130	360
266	130	359
267	131	358
268	131	356
269	131	355
270	131	354
271	132	353
272	132	352
273	132	351
274	132	350
275	133	349
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	136	339
286	136	338
287	136	337
288	136	336
289	137	335
290	137	334
291	137	333
292	137	332
293	138	331
294	138	330
295	138	329
296	138	328
297	139	327
298	139	326
299	139	325
300	139	324
301	140	323
302	140	323
303	140	322
304	140	321
305	141	320
306	141	319
307	141	318
308	142	317
309	142	316
310	142	316
311	142	315
312	143	314
313	143	313
314	143	312
315	144	311
316	144	310
317	144	310
318	144	309
319	145	308
320	145	307
321	145	307
322	146	306
323	146	305
324	146	304
325	146	303
326	147	302
327	147	301
328	147	301
329	147	300
330	148	299
331	148	298
332	148	297
333	149	297
334	149	296
335	149	295
336	149	294
337	150	293
338	150	293
339	150	292
340	150	291
341	151	290
342	151	290
343	151	289
344	151	288
345	152	287
346	152	286
347	152	286
348	152	285
349	153	284
350	153	283
351	153	283
352	154	282
353	154	281
354	154	280
355	154	280
356	155	279
357	155	278
358	155	277
359	155	277
360	156	276
361	156	275
362	156	274
363	156	274
364	157	273
365	157	272
366	157	271
367	157	271
368	158	270
369	158	269
370	158	269
371	158	268
372	159	267
373	159	267
374	159	266
375	160	265
376	160	264
377	160	264
378	160	263
379	161	262
380	161	262
